Frequency (Ghz),Intensity
8.720369653518743,7.711085022919713e-47
8.720369972019508,3.604307753321134e-45
8.720370290520274,1.5652082830968443e-43
8.720370609021039,6.314897505466233e-42
8.720370927521802,2.367033321970373e-40
8.720371246022566,8.243019465361457e-39
8.720371564523331,2.666933492561684e-37
8.720371883024095,8.016447314586729e-36
8.72037220152486,2.238698441619564e-34
8.720372520025625,5.808354949908586e-33
8.720372838526389,1.4000855993043076e-31
8.720373157027153,3.1354503959094038e-30
8.720373475527918,6.523627838725186e-29
8.720373794028683,1.2610209951983276e-27
8.720374112529447,2.2646409414744622e-26
8.72037443103021,3.778507438034832e-25
8.720374749530976,5.857133366366739e-24
8.720375068031741,8.435170037804264e-23
8.720375386532504,1.1286166873999423e-21
8.72037570503327,1.4029525738865925e-20
8.720376023534035,1.6202551483945157e-19
8.720376342034797,1.738472083222792e-18
8.720376660535562,1.732989516126276e-17
8.720376979036327,1.6049741680876102e-16
8.720377297537093,1.3809693999496233e-15
8.720377616037856,1.1039361649940762e-14
8.72037793453862,8.198752167567678e-14
8.720378253039385,5.657120880666515e-13
8.72037857154015,3.6264947740525985e-12
8.720378890040914,2.1598448252008055e-11
8.72037920854168,1.1950936576693428e-10
8.720379527042443,6.143632454438012e-10
8.720379845543206,2.9342182349248353e-09
8.720380164043972,1.3019775465674243e-08
8.720380482544737,5.36733218421942e-08
8.720380801045502,2.05568871472251e-07
8.720381119546264,7.314760696919549e-07
8.72038143804703,2.418169806439915e-06
8.720381756547795,7.427067360740297e-06
8.720382075048558,2.1192970252872826e-05
8.720382393549324,5.6183681230845816e-05
8.720382712050087,0.00013837972048742192
8.720383030550853,0.00031664935393317537
8.720383349051616,0.0006731760564762015
8.720383667552381,0.0013296049155501156
8.720383986053147,0.002439835019666399
8.720384304553912,0.004159510320705856
8.720384623054674,0.006588216279816337
8.720384941555439,0.009694767268699151
8.720385260056204,0.013254117765948398
8.720385578556968,0.01683480767802937
8.720385897057733,0.01986595240777286
8.720386215558497,0.021779831677298404
8.720386534059262,0.022184188398312824
8.720386852560026,0.02099309483569066
8.720387171060791,0.018456667469096997
8.720387489561556,0.015075579135577158
8.720387808062318,0.011440331785193407
8.720388126563083,0.008065794098619782
8.720388445063849,0.005283230270028369
8.720388763564614,0.0032151100691273716
8.720389082065378,0.0018177579318257202
8.720389400566141,0.0009548170159986518
8.720389719066906,0.00046595947499999485
8.72039003756767,0.00021126134557467355
8.720390356068435,8.898889888612096e-05
8.7203906745692,3.482535254201962e-05
8.720390993069966,1.2661906644783807e-05
8.720391311570728,4.277072311509646e-06
8.720391630071493,1.3422640941639894e-06
8.720391948572258,3.9135712957976117e-07
8.720392267073024,1.0601136445340712e-07
8.720392585573787,2.667936542858633e-08
8.72039290407455,6.237958310655298e-09
8.720393222575316,1.355043800914685e-09
8.72039354107608,2.734689962505739e-10
8.720393859576845,5.1275128398413624e-11
8.72039417807761,8.932012324371809e-12
8.720394496578374,1.4455588359131534e-12
8.720394815079137,2.1735324285234458e-13
8.720395133579903,3.036269889435512e-14
8.720395452080668,3.940565206691581e-15
8.720395770581433,4.75138870786167e-16
8.720396089082195,5.3226328120228155e-17
8.72039640758296,5.539573692119807e-18
8.720396726083726,5.356363949552063e-19
8.72039704458449,4.811801573325051e-20
8.720397363085254,4.0159587041344004e-21
8.72039768158602,3.113971718704987e-22
8.720398000086783,2.243282630320138e-23
8.720398318587547,1.5014027730194767e-24
8.720398637088312,9.33586000758489e-26
8.720398955589078,5.393309520287789e-27
8.720399274089841,2.8946779729254825e-28
8.720399592590605,1.4434078826526693e-29
8.72039991109137,6.686853037540897e-31
8.720400229592135,2.8780503094918356e-32
8.720400548092899,1.1508504219205623e-33
8.720400866593664,4.2754642399039396e-35
8.720401185094428,1.4756779275077721e-36
8.720401503595191,4.73198950588646e-38
8.720401822095956,1.4097427227760485e-39
8.720402140596722,3.901933352324572e-41
8.720402459097487,1.0033760486182892e-42
8.720402777598249,2.397129627090813e-44
8.720403096099014,5.320631689306061e-46
8.72040341459978,1.097182244908729e-47
8.720403733100545,2.102026769189857e-49
8.720404051601308,3.7414643455332145e-51
8.720404370102072,6.187124958088625e-53
8.720404688602837,9.505611276433564e-55
8.7204050071036,1.3567977360416208e-56
8.720405325604366,1.799260589385787e-58
8.720405644105131,2.2167510436033076e-60
8.720405962605897,2.5373692530026463e-62
8.720406281106658,2.6983254731430087e-64
8.720406599607424,2.665930841989915e-66
8.72040691810819,2.4470752348317873e-68
8.720407236608953,2.086842446901842e-70
8.720407555109718,1.6533922547145908e-72
8.720407873610482,1.2170433449330756e-74
8.720408192111247,8.323003501390833e-77
8.72040851061201,5.2880798685529965e-79
8.720408829112776,3.121474788418024e-81
8.720409147613541,1.7118493975763188e-83
8.720409466114303,8.721982039764816e-86
8.720409784615068,4.12865605982525e-88
8.720410103115833,1.815708470016327e-90
8.720410421616599,7.418693536194402e-93
8.720410740117362,2.816129612678858e-95
8.720411058618126,9.931658084657431e-98
8.720411377118891,3.254128980830077e-100
8.720411695619656,9.90584806809289e-103
8.72041201412042,2.8015118239394927e-105
8.720412332621185,7.361005699288488e-108
8.72041265112195,1.7969075990602326e-110
8.720412969622712,4.075287474287186e-113
8.720413288123478,8.586865005446912e-116
8.720413606624243,1.6809504749508371e-118
8.720413925125008,3.057166543280353e-121
8.720414243625772,5.1656761449729146e-124
8.720414562126535,8.109221557356015e-127
8.7204148806273,1.1827012005723453e-129
8.720415199128064,1.6025618734116028e-132
8.72041551762883,2.0174299869822687e-135
8.720415836129595,2.3595328856251314e-138
8.720416154630358,2.563878924190662e-141
8.720416473131122,2.5882896131666246e-144
8.720416791631887,2.4275720232154223e-147
8.720417110132653,2.1153161012794158e-150
8.720417428633418,1.7124674433578004e-153
8.72041774713418,1.2879923632745096e-156
8.720418065634945,9.000116495989198e-160
8.72041838413571,5.842878707893091e-163
8.720418702636474,3.524110423341e-166
8.72041902113724,1.9747678230773747e-169
8.720419339638005,1.0280789653412506e-172
8.720419658138768,4.972569042439251e-176
8.720419976639532,2.2344932526131765e-179
8.720420295140297,9.328700934305636e-183
8.720420613641062,3.618321812938349e-186
8.720420932141826,1.3038784494406987e-189
8.72042125064259,4.3652683073732404e-193
8.720421569143355,1.3577776444496787e-196
8.72042188764412,3.92365001936974e-200
8.720422206144884,1.0534059522511904e-203
8.720422524645649,2.6275147987479605e-207
8.720422843146412,6.08889510577771e-211
8.720423161647176,1.3109184916828649e-214
8.720423480147941,2.6221454838652704e-218
8.720423798648707,4.8728357780084494e-222
8.720424117149472,8.412995637424796e-226
8.720424435650234,1.349470739177695e-229
8.720424754150999,2.0110374350732608e-233
8.720425072651764,2.784330180784616e-237
8.72042539115253,3.5815021156718584e-241
8.720425709653293,4.2800967504139854e-245
8.720426028154057,4.752103394624703e-249
8.720426346654822,4.9018729406228253e-253
8.720426665155586,4.6976657838886035e-257
8.72042698365635,4.182597546858224e-261
8.720427302157116,3.4598234531847526e-265
8.720427620657881,2.6589225995271577e-269
8.720427939158643,1.8984596645509973e-273
8.720428257659409,1.259333991364733e-277
8.720428576160174,7.761119569447748e-282
8.720428894660937,4.44377150669775e-286
8.720429213161703,2.3638665908137998e-290
8.720429531662466,1.1682562911538334e-294
8.720429850163232,5.364103705169469e-299
8.720430168663995,2.2882322373982993e-303
8.72043048716476,9.068739587790865e-308
8.720430805665526,3.33916330841e-312
8.720431124166288,1.14227933e-316
